Reported_Power_Median,Measured_Power_Median,Ratio_Median_Power,Enb_Config,Non_Enb_Config,Round,Total_Tx_Power,Negative_Power_Headroom_Percentage
-27.031,-93.43,66.399,4,25,3,-11.0,0.0
-9.021,-75.32300000000001,66.302,4,26,3,-3.0,0.0
-26.061999999999998,-92.486,66.424,4,27,3,-8.0,0.0
-8.021,-74.375,66.354,4,28,3,1.0,0.0
-26.021,-92.42399999999999,66.40299999999999,4,29,3,-17.0,0.0
-8.021,-74.467,66.446,4,30,3,5.0,0.0
-26.021,-92.40700000000001,66.38600000000001,4,31,3,-20.0,0.0
-8.01,-74.413,66.40299999999999,4,32,3,5.5,0.0
-4.021,-70.764,66.743,5,1,1,2.0,0.0
-4.021,-70.757,66.736,5,4,1,2.0,0.042
-4.021,-70.564,66.54299999999999,5,5,1,2.0,0.0
-4.021,-71.005,66.984,5,8,1,2.0,0.076
-4.021,-71.376,67.355,5,10,1,2.0,0.081
-4.021,-70.75,66.729,5,14,1,2.0,0.046
-15.782,-82.641,66.85900000000001,5,16,1,2.0,0.9420000000000001
-4.021,-70.512,66.491,5,18,1,2.0,0.0
-4.021,-70.692,66.67099999999999,5,20,1,2.0,0.0
-4.021,-70.687,66.666,5,21,1,2.0,0.0
-4.021,-70.791,66.77,5,23,1,2.0,0.0
-4.021,-70.706,66.685,5,25,1,2.0,0.0
-14.020999999999999,-80.812,66.791,5,27,1,2.0,0.0
-4.021,-70.688,66.667,5,30,1,2.0,0.0
-16.062,-82.723,66.661,5,31,1,2.0,0.0
-14.99,-82.37700000000001,67.38700000000001,5,32,1,2.0,1.0
-4.021,-71.748,67.727,5,1,2,2.0,0.0
-4.021,-71.888,67.867,5,4,2,2.0,0.043
-4.021,-71.688,67.667,5,5,2,2.0,0.0
-4.021,-71.9,67.879,5,8,2,2.0,0.05
-4.021,-71.807,67.786,5,14,2,2.0,0.045
-16.062,-83.646,67.584,5,16,2,2.0,1.0
-4.021,-71.82300000000001,67.802,5,18,2,2.0,0.001
-4.021,-71.945,67.92399999999999,5,20,2,2.0,0.0
-4.021,-71.748,67.727,5,21,2,2.0,0.0
-4.021,-71.903,67.882,5,23,2,2.0,0.0
-4.021,-71.789,67.768,5,25,2,2.0,0.0
-14.020999999999999,-81.965,67.944,5,27,2,2.0,0.0
-14.020999999999999,-81.884,67.863,5,28,2,2.0,0.759
-4.021,-71.748,67.727,5,30,2,2.0,0.0
-6.021,-71.82,65.79899999999999,5,1,3,0.0,0.0
-4.021,-70.391,66.37,5,4,3,2.0,0.035
-6.021,-71.685,65.664,5,5,3,0.0,0.0
-4.021,-70.748,66.727,5,8,3,2.0,0.073
-4.021,-70.722,66.701,5,10,3,2.0,0.077
-4.021,-70.351,66.33,5,14,3,2.0,0.045
-14.812000000000001,-81.752,66.94,5,16,3,2.0,0.98
-6.021,-71.993,65.972,5,17,3,0.0,0.0
-4.021,-70.344,66.323,5,18,3,2.0,0.0
-4.021,-70.479,66.458,5,20,3,2.0,0.0
-6.021,-71.721,65.7,5,21,3,0.0,0.0
-6.021,-71.768,65.747,5,23,3,0.0,0.0
-6.021,-71.742,65.721,5,25,3,0.0,0.0
-14.020999999999999,-80.508,66.487,5,27,3,2.0,0.0
-14.020999999999999,-80.35300000000001,66.33200000000001,5,28,3,2.0,0.68
-4.021,-70.173,66.152,5,30,3,2.0,0.0
-14.020999999999999,-81.928,67.907,5,31,3,2.0,0.0
-16.062,-82.182,66.12,5,32,3,2.0,1.0
-6.021,-72.21600000000001,66.19500000000001,5,1,4,0.0,0.0
-4.021,-70.791,66.77,5,4,4,2.0,0.042
-7.021,-73.333,66.312,5,5,4,-1.5,0.0
